punto NOM	D	V	M	CONCEPTO	Cumple	No Cumple	N/A
LUCES 							
53		√		LUCES DEMARCADORAS LATERALES  LOCALIZADAS LO MAS CERCANO A LAS ESQUINAS			
PARTE TRASERA							
53		√		LUCES DE FRENO			
53		√		LUCES DE PELIGRO			
53		√		LUCES DE REVERSA			
53		√		LUCES DE GALIBO TRASERAS			
52		√		LUZ DE PLACA TRASERA, PLACA DE IDENTIFICACION			
LLANTAS							
77		√	√	LLANTA 1/2 DE DISCO  ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 3/4 DE DISCO ESPESOR MINIMO 1,6 mm			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 5/6 INTERIOR ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 5/6  DE DISCO  ESPESOR MINIMO 1,6 mm			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 7/8 EXTERIOR ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 7/8  DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 9/10 INTERIOR ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 9/10  DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 11/12 INTERIOR ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 11/12  DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
				SUSPENSION 			
14		√		MUELLES, GRILLETES, SOPORTES EN EXTREMO DE MUELLES, BUJES/PERNOS, EQUILIBRADORES,TOPES DE IMPACTO			
15		√		SUSPENSIÓN DE BARRA DE TORSION: BUJES Y PASADORES DE GRILLETE, BARRA DE TORCION, SOPORTES DE MONTAJE, ELEMENTOS DE SUJECION			
