punto NOM	D	V	M	CONCEPTO	Cumple	No Cumple	N/A
LUCES 							
53		√		FAROS PRINCIPALES DOS O CUATRO VIENDO HACIA ADELANTE			
53		√		FAROS PRINCIPALES, ALTURA ENTRE 56 Y 137 cm			
53		√		FAROS PRINCIPALES, NO FUNCIONAN MONTAJE INSEGURO			
53		√		LUCES DE GALIBO DOS ADELANTE  AMBAR Y DOS ATRÁS ROJAS VISIBLES			
53		√		LUZ ALTA, BAJA			
53		√		LUCES TRASERAS, ALTURA 38 Y 180 cm			
53		√		DIRECCIONALES 2 o 4 VIENDO ADELANTE COLOR AMBAR			
53				LUCES DE PELIGRO 2 o 4 VIENDO HACIA ADELANTE  AMBAR TRASERAS ROJAS			
53		√		LUCES INTERMITENTES / DE PELIGRO			
53		√		LUZ DE NIEBLA OPERADAS CON LUZ BAJA			
65		√		PARABRISAS:  GRIETAS, DESPOSTILLADO EN FORMA DE ESTRELLA DE 12.5 mm DE DIAMETRO EN LA BARRIDA DEL LIMPIPARABRISAS, DECOLORACION MAYOR AL 10% DETODA LA SUPERFICIE ,POLARIZADO QUE NO ES DE FABRICA, OBSTRUCCIONES, CONDICION			
				PARABRISAS TIPO AS-1  o AS 10			
72		√		LIMPIA PARABRISAS: FUNCIONAMIENTO, PLUMAS DE HULE,BRAZOS			
72		√		INYECTORES DE AGUA (SI CUENTA DE FABRICA) FALTANTES, NO FUNCIONAN			
53		√		LUZ QUE ILUMINAN DURANTE EL DIA  SI CUENTA  DE COLOR BLANCO O AMARILLO			
62		√		DEFENSA DELANTERA, FLOJA, FALTANTE, ROTA			
75		√		PLACA DE IDENTIFICACION			
PARTE TRASERA							
53		√		LUCES DE FRENO			
53		√		LUCES DE REVERSA			
52		√		LUZ DE PLACA TRASERA, PLACA DE IDENTIFICACION			
LLANTAS DELANTERAS							
77		√	√	LLANTA 1/2 DIRECCIONAL PROFUNDIDAD MINIMO DE 3,2 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 1/2 DIRECCIONAL DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
SUSPENSION DELANTERA							
13		√		PERNOS TIPO "U" 			
13		√		BRAZO DE CONTROL			
13		√		BRAZOS DE TORQUE			
21		√		AMORTIGUADORES: CONDICION, MONTURA, BUJES, ELEMENTOS DE SUJECION, POSICIONAMIENTO			
	SISTEMA DE DIRECCION						
45		√	√	VOLANTE			
45		√		OPERACIÓN			
45		√	√	DISTANCIA			
45		√		TOPES DE DIRECCION			
51			√	DIRECCION TELESCOPICA AJUSTABLE			
46		√		COLUMNA DE DIRECCION			
46		√		BARRA DE ACOPLAMIENTO			
46		√		TERMINALES, BARRA DE ACOPLAMIENTO, DE ARRASTRE			
46		√		BRAZO PITMAN			
46		√		JUNTA TRANVERSAL, HORQUILLA DE LA FLECHA, ACOPLAMIENTO, MANGUITO TUBO AJUSTADOR			
46		√		CAJA DE LA DIRECCION			
SISTEMA DE COMBUSTIBLE (DIESEL, GASOLINA)							
2		√		TAPON (ES)			
2		√		TANQUE (ES) SOPORTE, SUJETADORES Y CORREAS			
2		√		CUBIERTA DEL TANQUE TIPO JAULA			
2		√		LINEAS, MANGUERAS, BOMBA			
SISTEMA DE ESCAPE							
4		√		MULTIPLE			
4		√		MOFLE, RESONADORES			
4		√		TUBOS DE ESCAPE, COBERTURAS TERMICAS			
4		√		MONTAJE Y HERRAJES, POSICION, FINAL DEL TUBO			
LLANTAS TRASERAS							
77		√	√	LLANTA 3/4 EXTERIOR  ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 3/4 DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 5/6 INTERIOR ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 5/6  DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 7 DISCO ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 7 DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
77		√	√	LLANTA 8  ESPESOR MINIMO 1,6 mm			
77		√	√	BANDA DE RODAMIENTO, RENOVADAS, DAÑO CORTES DE MAS DE 25 mm , CONDICION, PUNTOS PLANOS AHUECAMIENTOS, REPARACIONES, DISPAREJA,			
77		√	√	COSTADOS: CONDICION ABULATAMIENTO MAS DE 9,5mm,DAÑO (CORTES), CONCORDANCIA, INDICACIONES 			
77		√	√	PRESION 			
78		√		RIN 8  DE DISCO			
78		√		CONDICION, CONCORDANCIA, BOQUILLA VALVULA DE AIRE			
78		√		SUJETADORES, TUERCAS BIRLOS			
78		√		RIN DE ARTILLERIA, PIEZAS MULTIPLES, CONDICION, ABRAZADERAS, ANILLOS DE SEGURIDAD			
				SUSPENSION TRASERA			
14		√		MUELLES, GRILLETES, SOPORTES EN EXTREMO DE MUELLES, BUJES/PERNOS, EQUILIBRADORES,TOPES DE IMPACTO			
15		√		SUSPENSIÓN DE BARRA DE TORSION: BUJES Y PASADORES DE GRILLETE, BARRA DE TORCION, SOPORTES DE MONTAJE, ELEMENTOS DE SUJECION			
21		√		AMORTIGUADORES: CONDICION, MONTURA, BUJES, ELEMENTOS DE SUJECION, POSICIONAMIENTO			
18		√		SUSPENSION DE AIRE: BUJES, PIVOTES, LINEAS, BOLSAS DE AIRE, BASE DE BOLSAS DE AIRE, VARILLAS DE RADIO, VIGAS DE SUSPENSIÓN HORIZONTAL, ALTURA DE LA SUSPENSIÓN, VALVULA DE NIVELACION, VALVULA DE PROTECCION			
18		√		VALVULA DE PROTECCION DE PRESION 65(PSI)			
72		√		SALPICADERAS (LODERAS): CONDICION, ANCHO, ALTURA DESDE EL SUELO			
21		√		AMORTIGUADORES: CONDICION, MONTURA, BUJES, ELEMENTOS DE SUJECION, POSICIONAMIENTO			
57		√	√	BASTIDOR, CHASIS, LARGEROS			
54		√		ACUMULADOR DE BATERIA, SOPORTE, POSTES, CUBIERTA			
				FRENOS NEUMATICOS			
34		√		COMPRESOR DE AIRE: COMPRESOR, BANDAS, SOPORTE DEL COMPRESOR,FILTRO DE AIRE, POLEAS			
35		√	√	GOBERNADOR: TIEMPO DE CARGA NO MAS DE 3 minutos,  ACTIVACION (80 PSI) /DESACTIVACION  117-135 PSI)			
36		√		DISPOSITIVO DE ADVERTENCIA DE  BAJA PRESION DE AIRE, LUZ, ALARMA (ZUMBADOR) O SEÑAL VISIBLE			
34		√		MANGUERAS O TUBERIA			
39		√		DEPOSITO DE AIRE			
37		√	√	FUGAS DEL SISTEMA DE AIRE PRESION DEL TANQUE (80 Y 90 PSI), CAIDA DE PRESION 3 PSI POR MINUTO			
38		√		CAIDA DE PRESION DE AIRE:  BAJA MAS DE 2 PSI, 			
39		√		VALVULAS DEL SISTEMA DE AIRE: OPERACIÓN, ANTIRRETORNO, VALVULAS BIDIRECCIONALES, CONTAMINACION, TANQUES DE AIRE, VALVULAS DE PURGA, EYECTORES DE HUMEDAD			
39		√		VALVULA DE PEDAL: OPERACIÓN, CONDICION , SOPORTE/MONTAJE			
39		√		VALVULA MANUAL DE CONTROL DE FRENO DE REMOLQUE: OPERACIÓN, CONDICION, SOPORTE			
39		√		VALVULA DE LIBERACION RAPIDA: OPERACIÓN, SOPORTE			
39		√		VALVULA DE RELEVO/LIMITANTES/PROPORCIONADORAS: OPERACIÓN, SOPORTE/MONTAJE			
39		√		SISTEMA DE PROTECCION DEL CAMION (SIN REMOLQUE ENGANCHADO):  VALVULA DE PROTECCION DEL CAMION, VALVULA DE SUMINISTRO DEL REMOLQUE,  (20 Y 45 PSI) (60 PSI)			
39		√		VALVULAS DE CONTROL DEL SISTEMA DE AIRE: CONDICION, OPERACIÓN, FRENADO DE ESTACIONAMIENTO, LIBERACION DE FRENOS, 			
40		√		COMPONENTES DEL SISTEMA DE AIRE: CONEXIONES Y MANGUERAS, LINEAS DE AIRE, UNIONES, EMPALMES.			
64		√		FRENOS ABS			
42		√	√	BALATAS  ZAPATAS, DESGASTE REMACHADAS 4,8 mm, DESGASTE ADHERIDAS 3,2 mm			
